comentario,marca,modelo
Execelente especificaciones,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Buena calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Celular con precio de gama media pero con características de gama alta,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Excelente todo perfecto, lo mejor",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Buena calidad , exactamente como se muestra en la página ,",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente me llego el dispositivo que era todo en su caja buen tiempo de entrega lo recomiendo 10/10,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente producto todo perfecto,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Bien llego en buen estado,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El tamaño corresponde, es muy similar a la foto, la calidad se ve buena",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
El mejor celular que existe en cuanto calidad y precio,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente calidad y cuenta con unas súper características como la cámara y capacidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Es exactamente como se pidio,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Es una máquina lo estoy probando con Android auto y es increíble no se pega ni nada además no se calienta la batería dura lo suficiente,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Los materiales no son muy premium pero la calidad del sistema operativo y la velocidad y por el precio está súper bien,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Buena calidad era lo esperado,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Es una máquina lo estoy probando con Android auto y es increíble no se pega ni nada además no se calienta la batería dura lo suficiente,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Los materiales no son muy premium pero la calidad del sistema operativo y la velocidad y por el precio está súper bien,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Buena calidad era lo esperado,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente calidad y precio,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Buenas calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
El producto es exactamente igual a las fotos y son las mismas caracteristicas. La entrega fue muy rapida!,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es perfecto. Tu tamaño. La calidad, la potencia su cámara y su precio El mejor teléfono gama media del 2024",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Fue muy buena la experiencia, llego muy rápido y está muy bonito el producto",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Es exactamente igual a la foto y las mismas especificaciones que estaban descritas.,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Igual a lo esperado y la calidad es excelente,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Si el producto es exactamente igual al de la página,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es igual al de la foto, y de muy buena calidad",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Es de muy buena calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente producto,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Excelente producto, cumple con todas las especificaciones",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Excelente producto, rompió con todas mis espectativas ...le doy 10/10",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente celular. Su relación precio- calidad es insuperable.El envío súper rápido. Felicitaciones.,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Corresponde al producto,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Exelente producto era lo que esperaba recibir.,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El teléfono ha estado muy bien, solo he tenido inconvenientes con algunas aplicaciones, pero todo va de maravilla",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"La batería dura menos de 13 horas y es una terrible desventaja. Se supone que la batería es de 5.000 miliamperios, pero no dura las 24 horas que dice en la publicidad del teléfono.",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Buena calidad, falta más resolución de las cámaras.",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
El Tamaño corresponde muy buena calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El teléfono se recibió a conformidad, como se describe en la descripción del producto. La entrega fue de un día para otro, todo bien.",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Buena,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Exelente, tal cual lo esperaba, muy bonito",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelentes características y calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Buena calidad, viene con cargador y cable los cuál se agradece, excelente cámara, un dispositivo rápido, sin embargo me gustaría que le durará más la batería",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Exelente, tal cual lo esperaba, muy bonito",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelentes características y calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Buena calidad, viene con cargador y cable los cuál se agradece, excelente cámara, un dispositivo rápido, sin embargo me gustaría que le durará más la batería",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Es bastante rápido y tiene buena camara,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Si igual como se ve y se ve de buena calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Mi primer gama media -alta llegó muy bien en su caja totalmente sellada, el color amarillo es hermoso recomendado ,posdata..no me llego la factura física estoy esperando aun la eletronica",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Todo perfecto, llegó intacto y buen funcionamiento, estoy muy feliz con el celular adquirido",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Todo cumple con la descripción,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Super Era lo que esperaba gracias,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es tal como dice en la descripción, super genial, y su fluides en muy buena es perfecto para mis transmisiónes en vivo en tiktok. Gracias que buen celular.",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Igual a la foto, tamaño adecuado, buen procesador, fotografía adecuada.",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Igual a la foto, excelente teléfono llegó perfecto y funciona de igual manera...",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente calidad,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Hermoso,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Excelente producto,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Tamaño correcto Muy buena calidad El color ideal,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Llego el dispositivo correcto y en buen tiempo de entrega,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El celular es igual que el de la foto, algo negativo es que la batería ni dura mucho",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"Es lo que estaba esperando, buena calidad precio accesible estoy conforme con la compra",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Tamaño según las especificaciones de buena calidad lo único malo es que hay algunas aplicaciones mal optimizadas y drenan demasiado la batería,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
Las descripción es precisa en cuando a dimensiones,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El producto corresponde pero se robaron el convertidor del cargador, en la caja trae el espacio donde deberia estar pero no lo traite.. El. Producto es bueno pero el vendedor pauperrimo.",Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp
"El tamaño es perfecto, la calidad de construcción me ha parecido de primera. Las cámaras son magníficas y la carga ultra rápida es de lo mejor, entre muchas otras cosas. Excelente costo-beneficio.",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Es Perfecto! Tal cual la foto, las características, la cámara, el tamaño es el adecuado, y sobretodo su capacidad de almacenamiento",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
si es el producto que pedí,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Es Perfecto! Tal cual la foto, las características, la cámara, el tamaño es el adecuado, y sobretodo su capacidad de almacenamiento",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
si es el producto que pedí,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Llegó rápido, y es igual a las especificaciones q aparecen en la descripción. Además el equipo trabajo muy bien",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Exvelente,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Tiene el tamaño ideal y de buena calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Todo lo que ofrecen en la pagina corresponde con el articulo,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Muy buen equipo, excelente tecnología !!",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Es un equipo genial,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"El tiempo de entrega fue antes de lo esperado, y el celular tal cual las características indicadas",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Me encantó,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Excelente producto, exacto lo que pedí",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"El producto es tal cual lo ofrecido, corresponde con la foto promocionada",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Cumplió con las expectativas,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Excelente, cumplió todas mis expectativas",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Excelente producto,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"El tamaño y su calidad son buenos ,lo que no me gusta es la cantidad de propaganda que aparece cuando va a hacer una llamada",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Es igual a la foto y el material parece de buena calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Corresponde con la descripción,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Producto en perfecto estado...con un rendimiento sin igual y un sistema operativo muy intuitivo..lamentablemente no venía el convertidor de cargador ..así que tuve que hacer parte de este fallo ..por lo demás satisfecho con los tiempos de respuesta entrega en perfecto estado y cuidado con seguridad compraré recurrentemente con Falabella .com,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Se le acaba la batería muy rápido y viene con un cargador que no sirve en Colombia, toca comprarle adaptador. Tampoco trae entrada para los audífonos convencionales",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Es imprescindible la presentación y calidad de los materiales.. Sin duda alguna cumplió con todas las espectativas de un producto de alto valor y calidad.. Estoy satisfecho,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Llego rapido y cumplio con las espectativas,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Exelente calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Todo está súper... Tamaño y características,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Buenas calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Exelente calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Todo está súper... Tamaño y características,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Buenas calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Todo ok,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Super bueno a funcionado perfectamente, el mejor por este precio",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Recomiendo 100% meste producto, excelente calidad y fácil de usar.. Buena relación precio/calidad.",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Un excelente teléfono Buenas camaras Y super de memoria,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Es un producto bueno Tiene buena memoria Es bonito Me gustó demasiado,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
El producto es genial cumple con lo que requería,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Excelente equipo,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Excelente tamaño, peso y prestaciones del equipo",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Igual a la foto, calidad de materiales, batería y sistema operativo muy buenos",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Muy buena calidad todo me gustó mucho superó mis expectativas,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Es buena calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Es un dispositivo 100% original, no le doy las 5 estrellas. Ya que esperaba que la batería durará un poco más y la cámara de 200 mpx aún tiene cositas por mejorar... Pero por el precio lo vale... Gran dispositivo",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Buen producto, lleno mis expectativas",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Buena apariencia y capacidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
La cámara trasera sobresale mucho y es algo incómoda. La batería no dura tanto como se esperaría Cuando tiene un uso moderado - alto el teléfono se recalienta más de lo esperado Por lo demás es de buena calidad y tiene buen rendimiento,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"El producto corresponde, la carga de la batería dura poco.",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"me encanto facil de instalacion de las aplicaciones, excelente producto",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Es un súper teléfono una máquina,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Me gusta la fluidez que tiene el móvil, la cámara trasera también me pareció buena, el aspecto que más me agrada es la velocidad de carga",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Es un súper teléfono una máquina,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Me gusta la fluidez que tiene el móvil, la cámara trasera también me pareció buena, el aspecto que más me agrada es la velocidad de carga",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Perfecto celular que cumple con cada una de las descripción y la camara es lo más espectacular 😍,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Bueno muy,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Todo según las características ofrecidas,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"La descripción es muy exacta, la duración de la batería un día con uso constante,la carga super rápida, buena rapidez, la funda con la que viene muy buena!",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Es exactamente al producto que ofrece, muy buena calidad",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Excelente calidad, mas de lo que esperaba",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Excelente producto, muy funcional",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Excelente, es lo que esperaba",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
buena calidad,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"El tamaño corresponde, es igual al de la foto, buena calidad",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
"Muy bueno, todo lo que se espera lo tiene el celular",Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
Bien peoducto,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
El cargador tiene terminales redondos y no encuentro entonces cómo conectarlo en los toma corrientes. No encuentro nada en Internet al respecto ni en la caja del teléfono,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp
