Model,Comment,Rating,Codigo
Apple iPhone 11 (128 GB) - Negro,Todo 5-5.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Muy buen teléfono, super rápido el envío, me gustó mucho.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto muy recomendado.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Muy buen producto muchas gracias. Me gustó la puntualidad y calidad.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente equipo , igual cono todis los apple la pila no es de mucha duracion , maxino dura entre 18 a 24 horas la carga.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente equipo, 100% original y sellado; funciona a la perfección.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Hasta el momento bien, sin inconvenientes.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Muy buen producto, excelente, cumple con todo.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"El iphone viene con la caja sellada, tal como se describe.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Nada del otro mundo,buen equipo.",4,MI5
Apple iPhone 11 (128 GB) - Negro,"Buen producto, a un precio comodo.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente producto, como lo es en general cualquier iphone.",4,MI5
Apple iPhone 11 (128 GB) - Negro,"Tal como lo esperaba, sellado y el celular en perfectas condiciones, me encantó.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto. Muy rapido.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto. El iphone 11 salió original y a un excelente precio!.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente, justo lo que esperaba.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente equipo. Muy bueno y a un precio bajo.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Buen producto sin duda alguna lo que esperaba.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Súper bueno, muy rápido, y muy caro,,.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Muy buena compra, llega totalmente empacado y sellado, y en el tiempo estabecido.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Todo perfecto.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"So far, the iphone has worked well. It was a gift for my wife along with a series 10 apple watch. I didn't rate durability because she has been very careful not to drop it.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Desde que se adquirió ha realizado las funciones de manera adecuada, sin embargo aún no se puede determinar completamente su estado, ya que solo llevo 5 días con el equipo.",4,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Por el momento todo bien!.,4,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente teléfono y con buen costo/beneficio. Aún en 2024 tiene por delante por lo menos un año o dos de actualizaciones.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Funcional….,4,MI5
Apple iPhone 11 (128 GB) - Negro,Muy buen producto.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"El celular viene nuevo, hasta el momento todo excelente, la batería dura mas que otros iphone que he tenido, aun sigue con 100% de batería ya llevo un mes y 3 días con el.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"El iphone está muy bien, hay algunas preguntas difíciles de responder con solo unos días de comprado.
Gracias.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Súper no me arrepiento de esta compra la mejor 🥰.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Excente producto.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente!.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"La verdad no me arrepiento de comprarlo, a pesar de que siento que algunas veces la bateria no es suficiente, es un celular demasiado bueno que vale la pena probar.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Es lo que esperaba.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Todo perfecto.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto. Recibido en las condiciones esperadas.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Asta el momento esta bueno exelente.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Muy bonito, excelente camara y muy rapido.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Excelente, me gusta como qudan las fotos, buena camara.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Muy bueno hasta el. Momento ha llenado las expectativas.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Me ha salido muy bueno, muy recomendado.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"El producto es tal como la descripción, todo perfecto.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Es una máquina que cumple perfectamente con todas las exigencias y requerimientos que se le hacen.,4,MI5
Apple iPhone 11 (128 GB) - Negro,Exelente muy buen equipo funciona todo.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Fantástico equipo, definitivamente es genial.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto a muy buen precio.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Buen equipo, batería duradera.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Excelente producto. En perfecto estado.,5,MI5
Apple iPhone 11 (128 GB) - Negro,Super !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!.,5,MI5
Apple iPhone 11 (128 GB) - Negro,El producto de muy buena calidad. Cumple con los requisitos anotqdos.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"Muy rapida y confiable, aunque me hubiese gustado mas comunicacion de parte de la tienada.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Producto original , compra confiable y muy eficiente.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Me encanta, cumple con todas mis expectativas. Es rápido, tiene una camara espectacular!!! cambié de android a apple y estoy fascinda.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Muy completo, tal cual la descripción. La cámara es un espectáculo.",5,MI5
Apple iPhone 11 (128 GB) - Negro,Claramente el producto es original hasta el momento funciona a la perfección.,5,MI5
Apple iPhone 11 (128 GB) - Negro,"El producto es original, cumplia con la descripción.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Buen producto de acuerdo con lo que se pidió , y los tiempos establecidos.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"De las mejores versiones!! es muy rapido, la relación uso bateria es muy buena!.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"Todo en orden, muy buen producto.",5,MI5
Apple iPhone 11 (128 GB) - Negro,"No fue claro al decir las caracteristicas del producto, nunca decia que era de segunda , y no decia que no tenia ni pantalla ni bateria original la verdad muy disgusto.",2,MI5
Apple iPhone 11 (128 GB) - Negro,No es lo que uno necesita no es lo que uno.,1,MI5
Apple iPhone 13 (128 GB) - Azul,"Excelente producto, completamente nuevo, en su caja debidamente sellada. Una excelente maquina.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"El iphone es totalmente nuevo!!! y esto es muy fácil de comprobar.
En la configuración del iphone te aparece toda la información si es nuevo o no, si ha sido abierto o alguna de sus partes reemplazadas.
Además, mi garantía directamente con apple de activo, tengo un año de garantía directamente con apple.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Estoy en shock. Tenía miedo pero de verdad es que todo está perfecto, batería 100%, el teléfono venía perfectamente sellado y es completamente nuevo. Además recibí mi factura junto con el. Muy agradecida con ustedes por su transparencia.",5,MI6
Apple iPhone 13 (128 GB) - Azul,,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Tenía mis dudas de comprarlo por acá al principio, pero la verdad recibí el celular y todo estaba muy bien, el celular es original, nuevo y con garantía de apple. Me gustó bastante.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Es iphone y eso lo dice todo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Producto original!!! en su caja completamente sellado y con la calidad de apple. Satisfecho hasta el momento.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Hasta el momento todo bien todo correcto yo que me alegro 😊.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Tenía mis dudas de comprar, pero el producto es original y nuevo. Lo único es que no avisan que es la versión china y no la americana, por lo demás 100% recomendado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Muchas gracias, excelente estado, 👌 recomendado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente producto, muy feliz con mi compra!.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Exelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Muy buen equipo, original y nuevo.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Es mi primer producto de apple. Es excelente rendimiento y calidad de la camara. Por mejorar se calienta mucho en algunos momentos.,4,MI6
Apple iPhone 13 (128 GB) - Azul,"Es original, garantía original, buen equipo. Detalle relativamente importante es que es original apple ensamblado en china, por lo que no cuenta con tecnología e-sim y un par de detalles que personalmente no me parecen importantes, de resto estoy contento con la compra.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Recibí el producto en el tiempo que estaba programado. El celular es completamente nuevo, la caja cuenta con los sellos de seguridad, el celular cuenta con el film protector y el serial (el que se ve en información del sistema) muestra que el celular es completamente nuevo. Recomiendo mucho la compra.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente producto, estaba sellado y con la garantía original.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente, una verdadera maquina.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"En general todo excelente, una excelente compra en un muy buen sitio.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Muy bien precio, es iphone original las características de ser diseñado para china son imperceptibles, muy buena opción a un precio adsequible.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Sellado, original, con garantía.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Muy buen celular.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Recibí lo que pedí, muy rápido y además estaban prestos a revisar cualquier inquietud al respecto.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Producto 100% nuevo en su estuche original.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Producto 100% original.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente producto, sellado y después de abierto funcional. Original.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Producto excelente mejor imposible rápido compacto de la mejor calidad muy satisfecho.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Todo perfecto, recomendado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Me daba vaina el par de comentarios que decía que no era nuevo, para nada, completamente nuevo. Recomendado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Es un celular excelente, hasta el momento todo ha funcionado muy bien, recién comprado tuve algunos inconvenientes con la última actualización del ios pero en el soporte técnico me ayudaron y era un tema general no del dispositivo, 💯de 💯.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente. 2 semanas de uso y todo perfecto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Todo bien.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente nueva célula de iphone muchas gracias.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Original, nuevo, garantía directa con apple.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Iphone original, nuevo, bien empacado. Todo perfecto.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Todo nuevo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Es original el iphone, y viene bien empacado. El único detalle fue que vino de un color diferente al que pedí. Pero el celular en sí está nuevo y ensamblado original por apple.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Equipo nuevo!! excelente máquina.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente 10/10. Nuevo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Todo acorde a lo esperado , producto nuevo y sellado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Buen modelo es este para la camara es fenomenal para redes sociales.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente producto, mejor precio.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Muy lindo y excelente funcionalidad.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Se ajusta a lo esperado. Buen precio.,4,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente 😀.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Me encanta, el color, la puntualidad, nuevo, en perfectas condiciones.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente téléphone.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Genial!.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente 👌.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Muy bueno totalmente nuevo y con garantía apple.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Producto sellado y nuevo, excelente todo.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Todo perfecto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Todo original, en su empaque, nuevo, sellado, llevo varios meses usándolo y todo bien.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente producto , ya llevo un año y está como nuevo !!!.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Un producto innovador, bueno costo beneficio.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Buen producto, excelente precio.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Nuevo, bien tratado, sellado, nada mas que decir todo correcto.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente artículo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Es un iphone ensamblado en la india. Es original y 100% nuevo. Muy bueno hasta ahora. Muchas gracias!.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Tal como se esperaba, nuevo y con sus respectivos sellos de seguridad.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Perfecto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Muchas gracias.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Impecable, compren con los ojos cerrados.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"El producto es lo que promete, lo tengo hace 5 meses y me ha servido perfectamente, original y completamente nuevo.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Quede muy satisfecho, gracias.",5,MI6
Apple iPhone 13 (128 GB) - Azul,100% original apple. Me gustó el tamaño y el color.,5,MI6
Apple iPhone 13 (128 GB) - Azul,De momento excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Originales, vienen sellados en su empaque original.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Muy buen producto, completamente nuevo.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"100% nuevo, me encantó.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Super bien todo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Muchas gracias por el producto ya que es lo que necesitaba.,4,MI6
Apple iPhone 13 (128 GB) - Azul,Bien.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Al principio tenía cierta desconfianza por algunos comentarios pero luego de recibirlo pude comprobar su originalidad y calidar del producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Compra legítima, producto original, muy contento con el! es caso tal, fue comprado en china o es de china.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente,calidad.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"La verdad estoy contenta con mi compra. Tenía miedo de comprarlo por dos comentarios que decían que no era original pero nada que ver.
Sí es un equipo original, vino completamente sellado, con su garantía, el beneficio de apple tv y demás y aparte lo comprobé en la misma página de apple.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Superfluido, cámara muy buena, muchas funciones.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente calidad.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Buen producto totalmente recomendado.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Me daba miedo comprarlo por este medio, pero no lo duden por un segundo, excelente producto.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Nuevo totalmente, tenia mis serias dudas pero no. Original original.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Compré la referencia rosada de 128 gb, venía sellado como nuevo, valide la garantía con el número de modelo en apple y tiene los 12 meses de garantía.
Viene con todo, manuales, cable de carga y batería al 100%.
Realmente me sorprendió, superó mis expectativas en relación al precio.
Definitivamente una buena compra.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Original 100%.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Superrecomendados.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Buen producto, lo que esperaba, nuevo totalmente ❤️‍🔥.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Todo muy bien.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Muy bello estoy muy satisfecha con el celular.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Muy buen celular, gran precio.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Equipo nuevo en perfectas condiciones. Batería al 100%. Muy satisfecho con la compra.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"El producto es 100% original, viene en su caja y en optimas condiciones, muy bueno.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto. Cumple 100% con lo esperado.,5,MI6
Apple iPhone 13 (128 GB) - Azul,El celular es completamente nuevo. Viene en su caja original y sellado. Hasta ahora satisfecho.,4,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,El volumen es claro y los colores de las fotos son optimas.,5,MI6
Apple iPhone 13 (128 GB) - Azul,10/10.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente máquina.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,De los mejores celulares que ha sacado apple.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Mi producto me pareció muy funcional, muy bonito y cumple con su función, mu hubiera gustado mas tiempo de garantía, pero es bonito el teléfono.",4,MI6
Apple iPhone 13 (128 GB) - Azul,"Es un productor original , viene sellado y nuevo - recomendado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Todo 10/10.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente equipo 👍.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente calidad, igual a lo ofertado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente todo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Conforme a lo especificado. Por el momento no se ha presentado ningún inconveniente con el equipo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Todo ok!.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Mi producto está bueno.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Muy buen producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Venia completamente sellado, y todo en perfecto estado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"No es el último modelo pero por su precio lo tiene todo lo que un iphone tiene para disfrutar,.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto. 100% nuevo en caja con todo en perfecto estado.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Todo en orden!!!!.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Dos días de uso. Parece original por sus caracteristicas. Sobre todo por la batería que ya me duró un día y no se acaba.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Cumplen con lo prometido, producto nuevo, sellado y con garantía de apple por un año, por el momento todo marcha súper bien.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Nuevo y original, no lo piensen al comprarlo!.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Super confiable.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,4,MI6
Apple iPhone 13 (128 GB) - Azul,"Es un teléfono muy completo, lo recibí totalmente sellado y 100% nuevo.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Buen producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Es una excelente compra, calidad en diseño y funcionalidad.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Super el producto, era lo que esperaba.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Una nota.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Exelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Hasta el momento todo bien la batería le dura la carga.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Todo correcto, hasta el momento sin contratiempos.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Tal cual mencionan en el anuncio.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Me siento conforme con el celular. Gracias.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente producto, es lo que esperaba.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Está hermoso 😱.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Buen producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente era lo esperado.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Buen producto, hasta el momento todo ha funcionado perfecto.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Buen equipo.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Hasta el momento ha salido muy bueno, sin problemas. Tal vez la pantalla más pequeña de lo que hubiera querido, pero en general, todo bien.",4,MI6
Apple iPhone 13 (128 GB) - Azul,Producto 10/10 sellado.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"No tengo ninguna queja, excelente iphone , nuevo y bonito.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Llega súper rápido, está severo ✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente, en su caja sellado totalmente nuevo y el funcionamiento increíble.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Venia en canje sellado y en muy perfecto estado.,5,MI6
Apple iPhone 13 (128 GB) - Azul,👌🏾👌🏾👌🏾.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Excellent service.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Recibí el producto sellado, completo, en calidad de nuevo, bateria al 100%; a gusto con mi compra.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente producto recomendado.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Totalmente original, iphone es iphone aunque sea costoso, es significado de calidad y duración.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente, producto nuevo y sellado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Tiene una pantalla excelente, con una genial saturación y buen contraste. Los ángulos pueden mejorar un poco. La cámara es otro punto fuerte, así como el 5g.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Producto nuevo, muy bonito. Estoy muy feliz.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Producto totalmente nuevo y con un año de garantía de apple.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Exelente.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Excelente, cumplió con mis expectativas.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Excelente compra.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Perfecto 👌🏻.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Muy buen producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,Super el celular.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Muy buen celular, veloz, con una cámara increíble, y me sorprendió la facilidad para usarlo.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Exelente producto.
La mejor compra que he echo.",5,MI6
Apple iPhone 13 (128 GB) - Azul,Buen producto.,5,MI6
Apple iPhone 13 (128 GB) - Azul,"Muy bueno, sellado.",5,MI6
Apple iPhone 13 (128 GB) - Azul,"Necesito ayuda urgentemente, el dia 25 de enero realice la compra y hoy 27 de enero el celular no venia en la caja ni nada de sus accesorios, necesito ayuda porfavor.",1,MI6
Apple iPhone 13 (128 GB) - Azul,"Me parece que es re manufacturado, aún así vino en buen estado.",3,MI6
Apple iPhone 13 (128 GB) - Azul,Suave con fallas en el imei y mala calidad de fotos.,3,MI6
Apple iPhone 13 (128 GB) - Azul,Un mes de uso y se quedó sin señal.,1,MI6
